"Ledger Id","Ledger Name","Group Name",Debit,Credit
1,"Accounting Fees","Legal & professional Fees",0,0
2,"Advance from customers","Advance from customers",0,0
3,"Advances to Suppliers","Advances to Suppliers",0,0
4,"Auditor Fees","Legal & professional Fees",0,0
5,"Bank ","Bank Balances",0,0
6,"Bank Charges","Finance Charges",0,0
7,"Bank Overdraft","Bank Overdraft",0,0
8,Building,"Tangible Asset",0,0
9,"Bus Booking Expenses","Bus Booking Expenses",0,0
10,"Bus Booking Services Sales","Sale of Services",0,0
11,"Bus Booking Services Sales Return","Sales Return",0,0
12,"Bus Cancellation Expenses","Purchase Return",0,0
13,"Capital Advances","Capital Advances",0,0
14,"Capital Redemption Reserve","Capital Redemption Reserve",0,0
15,"Capital Reserves","Capital Reserves",0,0
16,"Car Rental Booking Expenses","Car Rental Booking Expenses",0,0
17,"Car Rental Cancellation Expenses","Purchase Return",0,0
18,"Car Rental Services Sales","Sale of Services",0,0
19,"Car Rental Services Sales Return","Sales Return",0,0
20,"Cash In Hand","Cash in Hand",0,0
21,"Output CGST","Statutory Dues",0,0
22,"Commission from Forex Services","Sale of Services",0,0
23,"Commission from Insurance Services","Commission from Insurance Services",0,0
24,"Commission Paid to Agents","Direct Expenses",0,0
25,"Commission Received","Direct Income",0,0
26,"Communication Expenses","Communication Expenses",0,0
27,"Computer Softwares","Intangible Asset",0,0
28,"Contribution to Provident & Other Funds","Salaries & Wages",0,0
29,"Cruise Booking Expenses","Cruise Booking Expenses",0,0
30,"Cruise Cancellation Expenses","Purchase Return",0,0
31,"Deffered Payment Liabilities","Deffered Payment Liabilities",0,0
32,"Delivery Charges Paid","Direct Expenses",0,0
33,"Delivery Charges Received","Direct Income",0,0
34,"Deposits (Liabilities)","Deposits (Liabilities)",0,0
35,"Depreciation ","Depreciation ",0,0
36,"Discount Granted","Direct Expenses",0,0
37,"Discount Received","Direct Income",0,0
38,"Dividend received","Dividend received",0,0
39,"DMC Booking Expenses","DMC Booking Expenses",0,0
40,"DMC Cancellation","Purchase Return",0,0
41,Electricity,Electricity,0,0
42,"ESIC Payable","Statutory Dues",0,0
43,"Activity Cancellation Expenses","Purchase Return",0,0
44,"Activity Packages Sales","Sale of Services",0,0
45,"Activity Packages Sales Return","Sales Return",0,0
46,"Activity Purchased","Excursion Purchased",0,0
47,"Fixed Deposits","Bank Balances",0,0
48,"Flight Booking Expenses","Flight Booking Expenses",0,0
49,"Flight Cancellation Expenses","Purchase Return",0,0
50,"Flight Tickets Sales(Domestic)","Sale of Services",0,0
51,"Flight Tickets Sales Return(Domestic)","Sales Return",0,0
52,"Foreign Exchange Gain","Foreign Exchange Gain",0,0
53,"Foreign Exchange Loss","Foreign Exchange Loss",0,0
54,"Furniture & Fixtures","Tangible Asset",0,0
55,"Gain/(Loss) on Sale of Investment","Gain/(Loss) on Sale of Investment",0,0
56,"Gain/(Loss) on Sale or disposal of Fixed Assets","Gain/(Loss) on Sale or disposal of Fixed Assets",0,0
57,"General Reserve","General Reserve",0,0
58,Goodwill,"Intangible Asset",0,0
59,"Group Tours Sales","Sale of Services",0,0
60,"Group Tours Sales Return","Sales Return",0,0
61,"GST Payable","Statutory Dues",0,0
62,"Hotel Booking Expenses","Hotel Booking Expenses",0,0
63,"Hotel Booking Services Sales","Sale of Services",0,0
64,"Hotel Booking Services Sales Return","Sales Return",0,0
65,"Hotel Cancellation Expenses","Purchase Return",0,0
66,"Housekeeping & Office Maintenance","Housekeeping & Office Maintenance",0,0
67,"Output IGST","Statutory Dues",0,0
68,"Income received in advance","Interest received",0,0
69,"Insurance Premium Paid","Insurance Premium Paid",0,0
70,"Interest Accrued and due","Interest Accrued but due",0,0
71,"Interest Accrued but not due","Interest Accrued but not due",0,0
72,"Interest on Cash Credit Facilities","Finance Charges",0,0
73,"Interest on delayed payments of statutory liabilities","Finance Charges",0,0
74,"Interest on Term Loans","Finance Charges",0,0
75,"Interest received","Interest received",0,0
76,"Invesment in Debentures & Bonds","Invesment in Debentures & Bonds",0,0
77,"Invesment in Equity Shares","Invesment in Equity Shares",0,0
78,"Invesment in Government Securities","Invesment in Government Securities",0,0
79,"Invesment in Mutual Funds","Invesment in Mutual Funds",0,0
80,"Invesment in Preference Shares","Invesment in Preference Shares",0,0
81,Land,"Tangible Asset",0,0
82,"Legal Fees","Legal & professional Fees",0,0
83,"Licence Fees Paid","Indirect Expenses_Finance",0,0
84,Licences,"Intangible Asset",0,0
85,"Loans & Advances from Related Parties","Loans & Advances from Related Parties",0,0
86,"Loans & Advances to Related Parties","Loans & Advances to Related Parties",0,0
87,"Miscelleneous Expenses","Miscelleneous Expenses",0,0
88,"Office Equipments","Tangible Asset",0,0
89,"Other Cancellation Charges Paid","Other Cancellation Charges Paid",0,0
90,"Other Vehicle Rental Expenses","Other Vehicle Rental Expenses",0,0
91,"Package Tours Sales","Sale of Services",0,0
92,"Package Tours Sales Return","Sales Return",0,0
93,"Passport Services Sales","Sale of Services",0,0
94,"Passport Services Sales Return","Sales Return",0,0
95,Patent,"Intangible Asset",0,0
96,"Petrol & Diesel","Petrol & Diesel",0,0
97,"Petty Cash","Cash in Hand",0,0
98,"Plant & Equipment","Tangible Asset",0,0
99,"Postage & Courier Expenses","Indirect Expenses_Other",0,0
100,"Printing & Stationery Expenses","Printing & Stationery Expenses",0,0
101,"Provident Fund payable","Statutory Dues",0,0
102,"Provisions for Gratuity (Long Term)","Provisions for Gratuity (Long Term)",0,0
103,"Provsion for gratuity (Short Term)","Provsion for gratuity (Short Term)",0,0
104,"PT payable","Statutory Dues",0,0
105,"Rates & Taxes","Rates & Taxes",0,0
106,Rent,Rent,0,0
107,"Rent Received","Indirect Income",0,0
108,"Repairs & Maintenance","Repairs & Maintenance",0,0
109,"Revaluation Reserve","Revaluation Reserve",0,0
110,"Salaries Paid","Salaries & Wages",0,0
111,"Salary & Other payables","Salary & Other payables",0,0
112,"Sale of Scrap","Sale of Scrap",0,0
113,"Sales Promotion Expenses","Sales Promotion Expenses",0,0
